RatingID,Symbol,AgencyID,Date,Rating
1,WHR,1,11/27/2015,A
2,WHR,1,2/13/2014,BBB
3,WHR,2,3/6/2015,BBB
4,WHR,2,6/15/2012,BBB
5,WHR,3,10/24/2016,BBB
6,SLB,1,7/18/2014,AA
7,SLB,1,5/13/2014,AA
8,SLB,1,7/23/2015,A
9,HON,1,4/29/2014,AA
10,HON,4,2/16/2016,A
11,HON,1,4/21/2015,AA
12,SYY,1,6/1/2015,A
13,SYY,1,6/5/2014,A
14,SYY,1,11/3/2015,BBB
15,SYY,1,5/7/2013,A
16,PM,3,3/21/2016,A
17,PM,3,7/4/2013,A
18,PM,3,2/12/2013,A
19,PM,1,10/17/2014,A
20,PM,4,6/15/2012,A
21,T,1,10/28/2014,A
22,T,4,6/15/2012,A
23,T,3,10/24/2016,BBB
24,T,4,11/28/2012,A
25,DUK,1,9/27/2013,A
26,DUK,1,5/26/2015,AA
27,DUK,1,9/22/2015,AA
28,DUK,1,6/10/2013,A
29,DUK,4,6/15/2012,BBB
30,DUK,4,8/10/2016,BBB
31,DHR,1,4/28/2014,AA
32,DHR,1,7/18/2014,AA
33,DHR,1,10/27/2015,A
34,DHR,4,6/15/2012,A
35,CACI,3,4/19/2016,BB
36,CACI,3,11/26/2014,BB
37,CACI,3,10/25/2013,BB
38,CACI,3,9/29/2016,BB
39,SWX,3,9/4/2014,A
40,SWX,4,6/15/2012,BBB
41,SWX,3,4/2/2014,AA
42,SWX,3,4/27/2011,BBB
43,SWX,2,5/28/2013,A
44,SWX,3,1/21/2016,AA
45,AMOV,2,6/15/2012,A
46,NKTR,1,11/20/2015,B
47,NKTR,1,4/1/2015,B
48,NKTR,1,4/14/2014,B
49,NKTR,1,6/17/2013,CCC
50,WEC,1,5/15/2015,A
51,WEC,1,12/5/2013,BBB
52,WEC,1,9/14/2015,A
53,FE,1,8/14/2015,BB
54,FE,1,6/13/2014,BB
55,FE,1,8/29/2014,BB
56,FE,4,6/15/2012,BBB
57,FE,4,3/1/2013,BBB
58,VGR,1,12/11/2013,B
59,VGR,1,8/28/2015,B
60,VGR,3,11/13/2011,BBB
61,VGR,3,11/29/2016,BB
62,VGR,3,1/30/2013,B
63,CMS,1,11/4/2013,BBB
64,CMS,1,11/12/2015,BBB
65,CMS,1,2/9/2015,BBB
66,CMS,4,6/15/2012,BB
67,CMS,4,3/15/2013,BBB
68,CMS,2,10/31/2016,BBB
69,GE,1,10/5/2015,AA
70,GE,1,5/14/2014,AA
71,GE,2,10/5/2016,AA
72,LMT,1,5/7/2014,BBB
73,LMT,1,4/29/2015,A
74,LMT,1,7/27/2015,BBB
75,LMT,4,6/15/2012,BBB
76,LMT,4,12/14/2012,BBB
77,OXY,1,11/12/2015,A
78,OXY,1,9/23/2013,A
79,OXY,4,12/2/2014,A
80,OXY,4,6/19/2012,A
81,OXY,4,11/4/2016,A
82,PNW,1,12/4/2015,A
83,PNW,1,11/26/2014,A
84,PNW,1,6/6/2014,AA
85,CVS,1,11/16/2015,AA
86,CVS,1,8/29/2013,A
87,CVS,1,5/18/2015,A
88,CVS,4,6/15/2012,BBB
89,CVS,4,11/27/2012,BBB
90,CVS,3,7/21/2016,BBB
91,WY,1,2/21/2014,BBB
92,WY,1,8/19/2014,BBB
93,WY,4,4/22/2013,BBB
94,WY,1,11/9/2015,BBB
95,WY,4,6/15/2012,BB
96,EPAY,1,12/3/2014,B
97,EPAY,1,12/22/2015,B
98,UVV,1,6/27/2014,BBB
99,UVV,1,12/12/2014,BBB
100,UVV,4,6/15/2012,BB
101,UVV,1,9/9/2015,BBB
102,UVV,1,5/30/2013,BBB
103,EMR,4,6/15/2012,A
104,EMR,4,5/18/2015,A
105,EMR,4,2/14/2013,A
106,MRO,4,7/31/2013,BBB
107,MRO,4,10/24/2012,BBB
